"","Cell_Type","Arm","HR","Lower_CI","Upper_CI","coef","se","p_value"
"65","CD152+ CD8+ T Cells","Control",5.62869148333579e-06,1.12048039879553e-12,28.2755216857286,-12.0876335614165,7.87240487854832,0.124674904857581
"66","CD152+ CD8+ T Cells","Experimental",289.456748288586,0.0652640146641245,1283788.77028934,5.66800588443043,4.28442584781407,0.185857850499555
"67","CD279+ CD8+ T Cells","All",2.1540048878656,0.490290909799659,9.46323287707861,0.76732884793571,0.75515939587944,0.309574590041391
"68","CD279+ CD8+ T Cells","Control",0.864480481475815,0.0868071074826979,8.60904739858554,-0.145626551932281,1.17269513288224,0.901171899668941
"69","CD279+ CD8+ T Cells","Experimental",5.03907902131074,0.538822970841204,47.1255287119104,1.61722333151849,1.14062888459772,0.156239000202372
"70","CD366+ CD8+ T Cells","All",0.197391280560381,0.0158253518100496,2.46208224050502,-1.62256732438498,1.2875617998274,0.207602280405312
"71","CD366+ CD8+ T Cells","Control",0.0212714296626512,0.000364880151390592,1.24006120412058,-3.85039043704756,2.07429891859072,0.0634197819839324
"72","CD366+ CD8+ T Cells","Experimental",1.72029445195104,0.0624104029852202,47.4185850412527,0.542495469168302,1.69213250770112,0.748514528736489
"73","CD39+ CD8+ T Cells","All",0.295899739519656,0.0495180635910915,1.76817608561641,-1.21773459987492,0.912100002433169,0.181847248032574
"74","CD39+ CD8+ T Cells","Control",0.0459222855260428,0.00158989980685165,1.32640830500596,-3.08080475630081,1.71599047203036,0.072597836274223
"75","CD39+ CD8+ T Cells","Experimental",1.05140114124318,0.119152642720586,9.27754798019668,0.0501236948536241,1.11097632810312,0.964014211990232
"76","CD39+ CD103+ CD8+ T Cells","All",0.0991316301482958,0.00335474447706949,2.92930807786675,-2.31130671452199,1.72761998969019,0.180943392976062
"77","CD39+ CD103+ CD8+ T Cells","Control",0.00111531526916427,2.7047046357635e-07,4.59912750983188,-6.79861816142335,4.24726415424734,0.109442210947784
"78","CD39+ CD103+ CD8+ T Cells","Experimental",1.16923318565896,0.0200222261747214,68.2794325923762,0.156348137070564,2.07517101482023,0.939942374267957
"79","CD39+ CD279+ CD8+ T Cells","All",0.306084231347845,0.0413540809608251,2.26549724968019,-1.18389494906582,1.02128877672139,0.246367888455832
"80","CD39+ CD279+ CD8+ T Cells","Control",0.0400091220066917,0.00104579802794252,1.53063000787598,-3.21864780070039,1.8593847896953,0.0834467066364516
"81","CD39+ CD279+ CD8+ T Cells","Experimental",1.55618954481539,0.139388376015005,17.3739444322964,0.44224023377136,1.2310080301308,0.719407711192722
"82","CD38+ HLA-DR+ CD8+ T Cells","All",0.586674658424702,0.00577854857829041,59.5629075665863,-0.533284857396,2.35734835838944,0.821028497606657
"83","CD38+ HLA-DR+ CD8+ T Cells","Control",0.0006075342686036,5.06288789988263e-08,7.2902638736336,-7.40610197511648,4.79225220015647,0.12224170050324
"84","CD38+ HLA-DR+ CD8+ T Cells","Experimental",21.5479058229995,0.10893345333635,4262.34761807481,3.07027863424068,2.69764994611754,0.255065846681796
"85","CM CD8+ T Cells","All",12.6659938653155,2.24769534102843,71.3741749906399,2.53892075375143,0.882166901532911,0.00400141276896734
"86","CM CD8+ T Cells","Control",15.9244117395982,0.7042338823709,360.089020991886,2.76785326134726,1.59109965523113,0.0819318965006974
"87","CM CD8+ T Cells","Experimental",10.1619719177852,1.09831575353095,94.0218447435257,2.31865250971419,1.135160979485,0.0410944344354036
"88","Naive CD8+ T Cells","All",0.624446094728605,0.00814900968027197,47.8503450751566,-0.470890270630296,2.21380016894724,0.831555690393175
"89","Naive CD8+ T Cells","Control",0.81273507792611,0.000116183576252041,5685.29845783565,-0.207350079946848,4.51691411360833,0.963385768225119
"90","Naive CD8+ T Cells","Experimental",0.379828137021364,0.00155766973267272,92.618743657281,-0.968036399563492,2.80440251932879,0.729955639003382
"91","Effector CD8+ T Cells","All",1.00655799579552,0.0406047340192121,24.9517457353743,0.00653658569501072,1.63799295738684,0.996815964964728
"92","Effector CD8+ T Cells","Control",0.396522789393671,0.00665989459735081,23.6085301666908,-0.925021763156238,2.08505354682905,0.657299896082224
"93","Effector CD8+ T Cells","Experimental",2.91805682017741,0.00822646555343415,1035.0806856815,1.07091792221307,2.99562480940481,0.720722010505262
"94","EM CD8+ T Cells","All",0.434781579467458,0.109962561780372,1.71908528487884,-0.832911490162753,0.701392392540354,0.235025946793695
"95","EM CD8+ T Cells","Control",0.335227430457609,0.0337150910876462,3.33314923691213,-1.09294608061493,1.1718907452416,0.351008563655586
"96","EM CD8+ T Cells","Experimental",0.622506428283928,0.0933419248635628,4.15155626821753,-0.474001324136065,0.968122173386339,0.624410610302233
"97","B Cells","All",0.310328299916962,7.49545023734173e-06,12848.2813813605,-1.17012450989152,5.42412510152521,0.829201376670227
"98","B Cells","Control",9568.61872033011,0.00219150506968489,41778805571.3768,9.16624413968603,7.80086317149443,0.239982924683976
"99","B Cells","Experimental",5.47903058522389e-05,1.25044998397483e-12,2400.71786465176,-9.81199728016563,8.977471270309,0.274412327053088
"100","CD4+ T Cells","All",0.373983414569426,0.0927040682135995,1.50871042736493,-0.983543828621975,0.711645266930391,0.166950099011817
"101","CD4+ T Cells","Control",0.114814921056907,0.0161284354849362,0.817343139675028,-2.1644338291793,1.00141511372968,0.03066636533572
"102","CD4+ T Cells","Experimental",1.32908762226869,0.166156411256728,10.6313917970849,0.284492708534952,1.06089623212558,0.788574149803505
"103","CD8+ T Cells","All",0.138887268531317,0.0192634040054825,1.00136369224256,-1.97409269266458,1.00790395716732,0.0501582539586935
"104","CD8+ T Cells","Control",0.0439080578952364,0.0020848460794139,0.924728960649899,-3.12565742460013,1.55482592982161,0.0444000688350556
"105","CD8+ T Cells","Experimental",0.395649986509568,0.0285355287790724,5.48575472481957,-0.927225331023819,1.3415450661273,0.489463572577739
"106","NK Cells","All",1.4917993529736,0.555188865688563,4.00848332354856,0.399983010816884,0.504310254269803,0.427702757091021
"107","NK Cells","Control",3.40365657354121,0.793114039765232,14.6068251093367,1.22485031653253,0.743196603448944,0.0993354667156823
"108","NK Cells","Experimental",0.789783829416999,0.180410613116514,3.45743793246653,-0.235996004614956,0.753342331335148,0.754079117733096
"109","Monocytes & Macrophages","All",3.54215341638452,0.844675315813141,14.8540517170507,1.26473485191347,0.731410286274128,0.0837781535162872
"110","Monocytes & Macrophages","Control",4.60648419858385,0.524122285758122,40.4861560906712,1.52746491931758,1.1089464850283,0.168388047006474
"111","Monocytes & Macrophages","Experimental",3.24573818434814,0.433997421078085,24.2739146586775,1.17734280790596,1.02657983049312,0.25143970276399
"112","CD16+CD14+ Monocytes","All",0.198219099155101,0.00226952671453683,17.3123369811834,-1.61838229868598,2.28055295995084,0.477924498902342
"113","CD16+CD14+ Monocytes","Control",0.288730613074164,0.000257768222758238,323.412118197252,-1.24226116026888,3.58230489607291,0.728758812350004
"114","CD16+CD14+ Monocytes","Experimental",0.238701482738909,0.000582101480709299,97.8839596702703,-1.43254153393101,3.06960958133814,0.640725079799223
"115","CD16+CD14- Monocytes","All",0.471739086265669,0.0166198527930843,13.3898758479599,-0.751329229573064,1.70708652997076,0.65984752192453
"116","CD16+CD14- Monocytes","Control",0.294605890538704,0.00305144914068271,28.4430861333918,-1.22211678011378,2.3316866682458,0.600185186864893
"117","CD16+CD14- Monocytes","Experimental",0.743921871557702,0.0045877200745775,120.63067100555,-0.295819261010298,2.59624813171044,0.909284517283415
"118","CD16-CD14+ Monocytes","All",0.916745549754707,0.170607632715335,4.92605394975109,-0.0869253264142242,0.857905344871735,0.919294259429172
"119","CD16-CD14+ Monocytes","Control",0.442250206704587,0.04167470653444,4.69314031446431,-0.815879478549278,1.20511470221743,0.498397096204043
"120","CD16-CD14+ Monocytes","Experimental",2.00624035097294,0.162782910017718,24.7261849873179,0.696262498400729,1.28145227384638,0.586896684647431
"121","CD68+CD168+ Macrophages","All",0.833263377538149,0.176763241007215,3.92801044148055,-0.182405507271919,0.791105636740837,0.817648600595673
"122","CD68+CD168+ Macrophages","Control",0.563955677066316,0.0632018854995538,5.03222337722144,-0.57277961733403,1.11667435950372,0.607997882875556
"123","CD68+CD168+ Macrophages","Experimental",1.60111419030538,0.165622429261274,15.4783785132939,0.47069975583425,1.15754390260907,0.68427488702767
"124","CD68+CD168- Macrophages","All",0.122468205711754,0.00649081629422998,2.31072036711153,-2.09990382789521,1.49873322888555,0.16117844592806
"125","CD68+CD168- Macrophages","Control",0.0436139074813789,0.000924734900188964,2.05699268558544,-3.1323792005594,1.9661709530153,0.111129516776091
"126","CD68+CD168- Macrophages","Experimental",0.411774070778045,0.00370799993216834,45.727585886435,-0.887280451941418,2.40309629910661,0.711960884960934
"127","CD16+CD56- NK cells","All",1.49050612079208,0.289787386559306,7.66633952738997,0.399115740663671,0.835588576251748,0.632902014620661
"128","CD16+CD56- NK cells","Control",1.88415084797268,0.194226488792038,18.2777562421841,0.633477240874956,1.15931088105561,0.584773359255528
"129","CD16+CD56- NK cells","Experimental",1.16180950491899,0.100748235654059,13.3977663922072,0.149978707743545,1.24752766757832,0.904308283465266
"130","CD16+CD56+ NK cells","All",0.63123987506738,0.0466112935566435,8.54865311538409,-0.46006933801842,1.32953620512826,0.729314559011905
"131","CD16+CD56+ NK cells","Control",0.700589312306224,0.0110423768244289,44.4492514901195,-0.355833423393311,2.11747847337,0.866547226128093
"132","CD16+CD56+ NK cells","Experimental",0.697243425136966,0.0240209830026581,20.2384887347421,-0.360620682225753,1.71850446394395,0.833788144488841
"133","CD16-CD56+ NK cells","All",0.824331945358346,0.10108953251901,6.72199325890134,-0.193181983884781,1.07071697587262,0.85682048825698
"134","CD16-CD56+ NK cells","Control",0.426038972385595,0.0212457120209044,8.54333362952396,-0.853224452423988,1.52981165085271,0.577027607895006
"135","CD16-CD56+ NK cells","Experimental",1.39393850547458,0.056820574831047,34.1964959492633,0.332133197645482,1.63267795163134,0.838800139620696
"136","CD4+ T-regs","All",0.210099738010023,3.18880591487892e-05,1384.27678228752,-1.56017291810948,4.48636102033159,0.728021100175465
"137","CD4+ T-regs","Control",0.000581960059281855,3.83746740483358e-10,882.554755182416,-7.44910873925123,7.26132198546814,0.304956997272389
"138","CD4+ T-regs","Experimental",418.788595719845,0.00271764707027976,64535196.5761125,6.0373662477752,6.09468090369711,0.321882913844922
"139","CD103+ T-regs","All",0.0319131622586595,2.23704335481277e-10,4552660.64985481,-3.4447367443021,9.57974701098439,0.719157235889643
"140","CD103+ T-regs","Control",0.658113826299066,2.36165891399931e-09,183393887.152209,-0.418377374321116,9.92136810382752,0.966363717646172
"141","CD103+ T-regs","Experimental",9.80605442279765e-11,8.89909124714223e-34,10805452003174.9,-23.0454360297721,27.0701443424809,0.394589961360475
"142","CD152+ T-regs","All",0.533713939919181,0.156246792237746,1.82308107311813,-0.62789527659196,0.626758069715807,0.3164332279474
"143","CD152+ T-regs","Control",0.173380692855424,0.0252613788966727,1.18999302365819,-1.75226556538269,0.982779798613933,0.074591407616491
"144","CD152+ T-regs","Experimental",1.07740809296381,0.168229794270819,6.90013444892657,0.0745582428044971,0.947457539326334,0.937276841393353
"145","CD279+ T-regs","All",2.09244011288132,0.561442499926931,7.79831527995229,0.738330903082484,0.671224995924064,0.271342892489906
"146","CD279+ T-regs","Control",0.499033714309147,0.0517363330276081,4.81353496553943,-0.695081621767159,1.15640561454794,0.54779284605394
"147","CD279+ T-regs","Experimental",10.74596320106,1.02430664588456,112.735503164498,2.37453016786935,1.19926398941501,0.047704702816361
"148","CD366+ T-regs","All",0.396411101711442,0.0950201768474832,1.653772564666,-0.925303470582848,0.728769795133153,0.204199110608156
"149","CD366+ T-regs","Control",0.310163271207701,0.0492406890095433,1.9536943276244,-1.17065643883571,0.93898590002779,0.212498644677834
"150","CD366+ T-regs","Experimental",0.658903542189462,0.0633529343372355,6.85294031684098,-0.417178125163226,1.19484640898787,0.726978270851831
"151","CD39+ T-regs","All",1.14020491142859,0.26524613293022,4.901361711418,0.131207993121052,0.744046872891905,0.860023916896865
"152","CD39+ T-regs","Control",0.293509995243377,0.0403527156661489,2.1348778114588,-1.22584358495015,1.01239258194419,0.225957431707643
"153","CD39+ T-regs","Experimental",3.75290860417124,0.270170881611459,52.1311656802364,1.32253116711754,1.34248986878961,0.32455871080927
